Country,Capital,Continent
Monaco,Monaco,Europe
Botswana,Gaborone,Africa
Lebanon,Beirut,Asia
Papua New Guinea,Port Moresby,Oceania
Mayotte,Mamoudzou,Africa
Dominican Republic,Santo Domingo,North America
Norfolk Island,Kingston,Oceania
Bouvet Island,None,Antarctica
Qatar,Doha,Asia
Madagascar,Antananarivo,Africa
India,New Delhi,Asia
Syria,Damascus,Asia
Montenegro,Podgorica,Europe
Eswatini,Mbabane,Africa
Paraguay,Asunción,South America
El Salvador,San Salvador,North America
Ukraine,Kyiv,Europe
Isle of Man,Douglas,Europe
Namibia,Windhoek,Africa
United Arab Emirates,Abu Dhabi,Asia
Bulgaria,Sofia,Europe
Greenland,Nuuk,North America
Germany,Berlin,Europe
Cambodia,Phnom Penh,Asia
Iraq,Baghdad,Asia
French Southern and Antarctic Lands,Port-aux-Français,Antarctica
Sweden,Stockholm,Europe
Cuba,Havana,North America
Kyrgyzstan,Bishkek,Asia
Russia,Moscow,Europe
Malaysia,Kuala Lumpur,Asia
São Tomé and Príncipe,São Tomé,Africa
Cyprus,Nicosia,Europe
Canada,Ottawa,North America
Malawi,Lilongwe,Africa
Saudi Arabia,Riyadh,Asia
Bosnia and Herzegovina,Sarajevo,Europe
Ethiopia,Addis Ababa,Africa
Spain,Madrid,Europe
Slovenia,Ljubljana,Europe
Oman,Muscat,Asia
Saint Pierre and Miquelon,Saint-Pierre,North America
Macau,None,Asia
San Marino,City of San Marino,Europe
Lesotho,Maseru,Africa
Marshall Islands,Majuro,Oceania
Sint Maarten,Philipsburg,North America
Iceland,Reykjavik,Europe
Luxembourg,Luxembourg,Europe
Argentina,Buenos Aires,South America
Turks and Caicos Islands,Cockburn Town,North America
Nauru,Yaren,Oceania
Cocos (Keeling) Islands,West Island,Asia
Western Sahara,El Aaiún,Africa
Dominica,Roseau,North America
Costa Rica,San José,North America
Australia,Canberra,Oceania
Thailand,Bangkok,Asia
Haiti,Port-au-Prince,North America
Tuvalu,Funafuti,Oceania
Honduras,Tegucigalpa,North America
Equatorial Guinea,Malabo,Africa
Saint Lucia,Castries,North America
French Polynesia,Papeetē,Oceania
Belarus,Minsk,Europe
Latvia,Riga,Europe
Palau,Ngerulmud,Oceania
Guadeloupe,Basse-Terre,North America
Philippines,Manila,Asia
Gibraltar,Gibraltar,Europe
Denmark,Copenhagen,Europe
Cameroon,Yaoundé,Africa
Guinea,Conakry,Africa
Bahrain,Manama,Asia
Suriname,Paramaribo,South America
DR Congo,Kinshasa,Africa
Somalia,Mogadishu,Africa
Czechia,Prague,Europe
New Caledonia,Nouméa,Oceania
Vanuatu,Port Vila,Oceania
"Saint Helena, Ascension and Tristan da Cunha",Jamestown
Togo,Lomé,Africa
British Virgin Islands,Road Town,North America
Kenya,Nairobi,Africa
Niue,Alofi,Oceania
Heard Island and McDonald Islands,None,Antarctica
Rwanda,Kigali,Africa
Estonia,Tallinn,Europe
Romania,Bucharest,Europe
Trinidad and Tobago,Port of Spain,North America
Guyana,Georgetown,South America
Timor-Leste,Dili,Oceania
Vietnam,Hanoi,Asia
Uruguay,Montevideo,South America
Vatican City,Vatican City,Europe
Hong Kong,City of Victoria,Asia
Austria,Vienna,Europe
Antigua and Barbuda,Saint John's,North America
Turkmenistan,Ashgabat,Asia
Mozambique,Maputo,Africa
Panama,Panama City,North America
Micronesia,Palikir,Oceania
Ireland,Dublin,Europe
Curaçao,Willemstad,North America
French Guiana,Cayenne,South America
Norway,Oslo,Europe
Åland Islands,Mariehamn,Europe
Central African Republic,Bangui,Africa
Burkina Faso,Ouagadougou,Africa
Eritrea,Asmara,Africa
Tanzania,Dodoma,Africa
South Korea,Seoul,Asia
Jordan,Amman,Asia
Mauritania,Nouakchott,Africa
Lithuania,Vilnius,Europe
United States Minor Outlying Islands,Washington DC,Oceania
Slovakia,Bratislava,Europe
Angola,Luanda,Africa
Kazakhstan,Nur-Sultan,Asia
Moldova,Chișinău,Europe
Mali,Bamako,Africa
Falkland Islands,Stanley,South America
Armenia,Yerevan,Asia
Samoa,Apia,Oceania
Jersey,Saint Helier,Europe
Japan,Tokyo,Asia
Bolivia,Sucre,South America
Chile,Santiago,South America
United States,"Washington, D.C."
Saint Vincent and the Grenadines,Kingstown,North America
Bermuda,Hamilton,North America
Seychelles,Victoria,Africa
British Indian Ocean Territory,Diego Garcia,Asia
Guatemala,Guatemala City,North America
Ecuador,Quito,South America
Martinique,Fort-de-France,North America
Tajikistan,Dushanbe,Asia
Malta,Valletta,Europe
Gambia,Banjul,Africa
Nigeria,Abuja,Africa
Bahamas,Nassau,North America
Kosovo,Pristina,Europe
Kuwait,Kuwait City,Asia
Maldives,Malé,Asia
South Sudan,Juba,Africa
Iran,Tehran,Asia
Albania,Tirana,Europe
Brazil,Brasília,South America
Serbia,Belgrade,Europe
Belize,Belmopan,North America
Myanmar,Naypyidaw,Asia
Bhutan,Thimphu,Asia
Venezuela,Caracas,South America
Liberia,Monrovia,Africa
Jamaica,Kingston,North America
Poland,Warsaw,Europe
Cayman Islands,George Town,North America
Brunei,Bandar Seri Begawan,Asia
Comoros,Moroni,Africa
Guam,Hagåtña,Oceania
Tonga,Nuku'alofa,Oceania
Kiribati,South Tarawa,Oceania
Ghana,Accra,Africa
Chad,N'Djamena,Africa
Zimbabwe,Harare,Africa
Saint Martin,Marigot,North America
Mongolia,Ulan Bator,Asia
Portugal,Lisbon,Europe
American Samoa,Pago Pago,Oceania
Republic of the Congo,Brazzaville,Africa
Belgium,Brussels,Europe
Israel,Jerusalem,Asia
New Zealand,Wellington,Oceania
Nicaragua,Managua,North America
Anguilla,The Valley,North America
